"Statistic Label","Week","Mode of Transport","UNIT","VALUE"
"Passenger Journeys","2022 Week 15","Rail","Number","557169"
"Passenger Journeys","2022 Week 15","All public transport, excluding LUAS","Number","3380695"
"Passenger Journeys","2022 Week 16","Dublin Metro Bus","Number","2229079"
"Passenger Journeys","2022 Week 16","Bus, excluding Dublin Metro","Number","570284"
"Passenger Journeys","2022 Week 16","Rail","Number","590864"
"Passenger Journeys","2022 Week 16","All public transport, excluding LUAS","Number","3390227"
"Passenger Journeys","2022 Week 17","Dublin Metro Bus","Number","2471590"
"Passenger Journeys","2022 Week 17","Bus, excluding Dublin Metro","Number","666915"
"Passenger Journeys","2022 Week 17","Rail","Number","599078"
"Passenger Journeys","2022 Week 17","All public transport, excluding LUAS","Number","3737583"
"Passenger Journeys","2022 Week 18","Dublin Metro Bus","Number","2335362"
"Passenger Journeys","2022 Week 18","Bus, excluding Dublin Metro","Number","645649"
"Passenger Journeys","2022 Week 18","Rail","Number","633863"
"Passenger Journeys","2022 Week 18","All public transport, excluding LUAS","Number","3614874"
"Passenger Journeys","2022 Week 19","Dublin Metro Bus","Number","2267822"
"Passenger Journeys","2022 Week 19","Bus, excluding Dublin Metro","Number","681036"
"Passenger Journeys","2022 Week 19","Rail","Number","672546"
"Passenger Journeys","2022 Week 19","All public transport, excluding LUAS","Number","3621404"
"Passenger Journeys","2022 Week 20","Dublin Metro Bus","Number","2454491"
"Passenger Journeys","2022 Week 20","Bus, excluding Dublin Metro","Number","668361"
"Passenger Journeys","2022 Week 20","Rail","Number","650548"
"Passenger Journeys","2022 Week 20","All public transport, excluding LUAS","Number","3773400"
"Passenger Journeys","2022 Week 21","Dublin Metro Bus","Number","2449292"
"Passenger Journeys","2022 Week 21","Bus, excluding Dublin Metro","Number","671051"
"Passenger Journeys","2022 Week 21","Rail","Number","663418"
"Passenger Journeys","2022 Week 21","All public transport, excluding LUAS","Number","3783761"
"Passenger Journeys","2022 Week 22","Dublin Metro Bus","Number","2461534"
"Passenger Journeys","2022 Week 22","Bus, excluding Dublin Metro","Number","675775"
"Passenger Journeys","2022 Week 22","Rail","Number","700921"
"Passenger Journeys","2022 Week 22","All public transport, excluding LUAS","Number","3838230"
"Passenger Journeys","2022 Week 23","Dublin Metro Bus","Number","2417295"
"Passenger Journeys","2022 Week 23","Bus, excluding Dublin Metro","Number","628508"
"Passenger Journeys","2022 Week 23","Rail","Number","646250"
"Passenger Journeys","2022 Week 23","All public transport, excluding LUAS","Number","3692053"
"Passenger Journeys","2022 Week 24","Dublin Metro Bus","Number","2297192"
"Passenger Journeys","2022 Week 24","Bus, excluding Dublin Metro","Number","689753"
"Passenger Journeys","2022 Week 24","Rail","Number","718874"
"Passenger Journeys","2022 Week 24","All public transport, excluding LUAS","Number","3705819"
"Passenger Journeys","2022 Week 25","Dublin Metro Bus","Number","2458431"
"Passenger Journeys","2022 Week 25","Bus, excluding Dublin Metro","Number","672758"
"Passenger Journeys","2022 Week 25","Rail","Number","777823"
"Passenger Journeys","2022 Week 25","All public transport, excluding LUAS","Number","3909012"
"Passenger Journeys","2022 Week 26","Dublin Metro Bus","Number","2456029"
"Passenger Journeys","2022 Week 26","Bus, excluding Dublin Metro","Number","641014"
"Passenger Journeys","2022 Week 26","Rail","Number","723963"
"Passenger Journeys","2022 Week 26","All public transport, excluding LUAS","Number","3821006"
"Passenger Journeys","2022 Week 27","Dublin Metro Bus","Number","2455447"
"Passenger Journeys","2022 Week 27","Bus, excluding Dublin Metro","Number","688352"
"Passenger Journeys","2022 Week 27","Rail","Number","768799"
"Passenger Journeys","2022 Week 27","All public transport, excluding LUAS","Number","3912598"
"Passenger Journeys","2022 Week 28","Dublin Metro Bus","Number","2463379"
"Passenger Journeys","2022 Week 28","Bus, excluding Dublin Metro","Number","693305"
"Passenger Journeys","2022 Week 28","Rail","Number","788475"
"Passenger Journeys","2022 Week 28","All public transport, excluding LUAS","Number","3945159"
"Passenger Journeys","2022 Week 29","Dublin Metro Bus","Number","2437677"
"Passenger Journeys","2022 Week 29","Bus, excluding Dublin Metro","Number","668149"
"Passenger Journeys","2022 Week 29","Rail","Number","780426"
"Passenger Journeys","2022 Week 29","All public transport, excluding LUAS","Number","3886252"
"Passenger Journeys","2022 Week 30","Dublin Metro Bus","Number","2428637"
"Passenger Journeys","2022 Week 30","Bus, excluding Dublin Metro","Number","654034"
"Passenger Journeys","2022 Week 30","Rail","Number","694529"
"Passenger Journeys","2022 Week 30","All public transport, excluding LUAS","Number","3777200"
"Passenger Journeys","2022 Week 31","Dublin Metro Bus","Number","2391497"
"Passenger Journeys","2022 Week 31","Bus, excluding Dublin Metro","Number","599663"
"Passenger Journeys","2022 Week 31","Rail","Number","695776"
"Passenger Journeys","2022 Week 31","All public transport, excluding LUAS","Number","3686936"
"Passenger Journeys","2022 Week 32","Dublin Metro Bus","Number","2569142"
"Passenger Journeys","2022 Week 32","Bus, excluding Dublin Metro","Number","700075"
"Passenger Journeys","2022 Week 32","Rail","Number","776829"
"Passenger Journeys","2022 Week 32","All public transport, excluding LUAS","Number","4046046"
"Passenger Journeys","2022 Week 33","Dublin Metro Bus","Number","2555241"
"Passenger Journeys","2022 Week 33","Bus, excluding Dublin Metro","Number","687677"
"Passenger Journeys","2022 Week 33","Rail","Number","708368"
"Passenger Journeys","2022 Week 33","All public transport, excluding LUAS","Number","3951286"
"Passenger Journeys","2022 Week 34","Dublin Metro Bus","Number","2614443"
"Passenger Journeys","2022 Week 34","Bus, excluding Dublin Metro","Number","719994"
"Passenger Journeys","2022 Week 34","Rail","Number","753379"
"Passenger Journeys","2022 Week 34","All public transport, excluding LUAS","Number","4087816"
"Passenger Journeys","2022 Week 35","Dublin Metro Bus","Number","2694493"
"Passenger Journeys","2022 Week 35","Bus, excluding Dublin Metro","Number","703280"
"Passenger Journeys","2022 Week 35","Rail","Number","674115"
"Passenger Journeys","2022 Week 35","All public transport, excluding LUAS","Number","4071888"
"Passenger Journeys","2022 Week 36","Dublin Metro Bus","Number","2770458"
"Passenger Journeys","2022 Week 36","Bus, excluding Dublin Metro","Number","746245"
"Passenger Journeys","2022 Week 36","Rail","Number","735395"
"Passenger Journeys","2022 Week 36","All public transport, excluding LUAS","Number","4252098"
"Passenger Journeys","2022 Week 37","Dublin Metro Bus","Number","2991127"
"Passenger Journeys","2022 Week 37","Bus, excluding Dublin Metro","Number","823471"
"Passenger Journeys","2022 Week 37","Rail","Number","781714"
"Passenger Journeys","2022 Week 37","All public transport, excluding LUAS","Number","4596312"
"Passenger Journeys","2022 Week 38","Dublin Metro Bus","Number","3026029"
"Passenger Journeys","2022 Week 38","Bus, excluding Dublin Metro","Number","849445"
"Passenger Journeys","2022 Week 38","Rail","Number","777177"
"Passenger Journeys","2022 Week 38","All public transport, excluding LUAS","Number","4652651"
"Passenger Journeys","2022 Week 39","Dublin Metro Bus","Number","3092163"
"Passenger Journeys","2022 Week 39","Bus, excluding Dublin Metro","Number","885387"
"Passenger Journeys","2022 Week 39","Rail","Number","841960"
"Passenger Journeys","2022 Week 39","All public transport, excluding LUAS","Number","4819510"
"Passenger Journeys","2022 Week 40","Dublin Metro Bus","Number","3132650"
"Passenger Journeys","2022 Week 40","Bus, excluding Dublin Metro","Number","896210"
"Passenger Journeys","2022 Week 40","Rail","Number","841573"
"Passenger Journeys","2022 Week 40","All public transport, excluding LUAS","Number","4870433"
"Passenger Journeys","2022 Week 41","Dublin Metro Bus","Number","3130260"
"Passenger Journeys","2022 Week 41","Bus, excluding Dublin Metro","Number","885730"
"Passenger Journeys","2022 Week 41","Rail","Number","814269"
"Passenger Journeys","2022 Week 41","All public transport, excluding LUAS","Number","4830259"
"Passenger Journeys","2022 Week 42","Dublin Metro Bus","Number","3096053"
"Passenger Journeys","2022 Week 42","Bus, excluding Dublin Metro","Number","866776"
"Passenger Journeys","2022 Week 42","Rail","Number","824247"
"Passenger Journeys","2022 Week 42","All public transport, excluding LUAS","Number","4787076"
"Passenger Journeys","2022 Week 43","Dublin Metro Bus","Number","3157869"
"Passenger Journeys","2022 Week 43","Bus, excluding Dublin Metro","Number","891987"
"Passenger Journeys","2022 Week 43","Rail","Number","799752"
"Passenger Journeys","2022 Week 43","All public transport, excluding LUAS","Number","4849608"
"Passenger Journeys","2022 Week 44","Dublin Metro Bus","Number","2723592"
"Passenger Journeys","2022 Week 44","Bus, excluding Dublin Metro","Number","736242"
"Passenger Journeys","2022 Week 44","Rail","Number","767786"
"Passenger Journeys","2022 Week 44","All public transport, excluding LUAS","Number","4227620"
"Passenger Journeys","2022 Week 45","Dublin Metro Bus","Number","3157496"
"Passenger Journeys","2022 Week 45","Bus, excluding Dublin Metro","Number","864536"
"Passenger Journeys","2022 Week 45","Rail","Number","860900"
"Passenger Journeys","2022 Week 45","All public transport, excluding LUAS","Number","4882932"
"Passenger Journeys","2022 Week 46","Dublin Metro Bus","Number","3192643"
"Passenger Journeys","2022 Week 46","Bus, excluding Dublin Metro","Number","891579"
"Passenger Journeys","2022 Week 46","Rail","Number","863826"
"Passenger Journeys","2022 Week 46","All public transport, excluding LUAS","Number","4948048"
"Passenger Journeys","2022 Week 47","Dublin Metro Bus","Number","3114790"
"Passenger Journeys","2022 Week 47","Bus, excluding Dublin Metro","Number","871810"
"Passenger Journeys","2022 Week 47","Rail","Number","810472"
"Passenger Journeys","2022 Week 47","All public transport, excluding LUAS","Number","4797072"
"Passenger Journeys","2022 Week 48","Dublin Metro Bus","Number","3147713"
"Passenger Journeys","2022 Week 48","Bus, excluding Dublin Metro","Number","852232"
"Passenger Journeys","2022 Week 48","Rail","Number","810146"
"Passenger Journeys","2022 Week 48","All public transport, excluding LUAS","Number","4810091"
"Passenger Journeys","2022 Week 49","Dublin Metro Bus","Number","3073856"
"Passenger Journeys","2022 Week 49","Bus, excluding Dublin Metro","Number","840769"
"Passenger Journeys","2022 Week 49","Rail","Number","831900"
"Passenger Journeys","2022 Week 49","All public transport, excluding LUAS","Number","4746525"
"Passenger Journeys","2022 Week 50","Dublin Metro Bus","Number","3050335"
"Passenger Journeys","2022 Week 50","Bus, excluding Dublin Metro","Number","800708"
"Passenger Journeys","2022 Week 50","Rail","Number","805056"
"Passenger Journeys","2022 Week 50","All public transport, excluding LUAS","Number","4656099"
"Passenger Journeys","2022 Week 51","Dublin Metro Bus","Number","2741688"
"Passenger Journeys","2022 Week 51","Bus, excluding Dublin Metro","Number","662302"
"Passenger Journeys","2022 Week 51","Rail","Number","619257"
"Passenger Journeys","2022 Week 51","All public transport, excluding LUAS","Number","4023247"
"Passenger Journeys","2022 Week 52","Dublin Metro Bus","Number","2840848"
"Passenger Journeys","2022 Week 52","Bus, excluding Dublin Metro","Number","478378"
"Passenger Journeys","2022 Week 52","Rail","Number","410985"
"Passenger Journeys","2022 Week 52","All public transport, excluding LUAS","Number","3730211"
"Passenger Journeys","2022 Week 53","Dublin Metro Bus","Number",""
"Passenger Journeys","2022 Week 53","Bus, excluding Dublin Metro","Number",""
"Passenger Journeys","2022 Week 53","Rail","Number",""
"Passenger Journeys","2022 Week 53","All public transport, excluding LUAS","Number",""
"Passenger Journeys","2023 Week 01","Dublin Metro Bus","Number","2325239"
"Passenger Journeys","2023 Week 01","Bus, excluding Dublin Metro","Number","614352"
"Passenger Journeys","2023 Week 01","Rail","Number","593351"
"Passenger Journeys","2023 Week 01","All public transport, excluding LUAS","Number","3532942"
"Passenger Journeys","2023 Week 02","Dublin Metro Bus","Number","2791337"
"Passenger Journeys","2023 Week 02","Bus, excluding Dublin Metro","Number","742138"
"Passenger Journeys","2023 Week 02","Rail","Number","693509"
"Passenger Journeys","2023 Week 02","All public transport, excluding LUAS","Number","4226984"
"Passenger Journeys","2023 Week 03","Dublin Metro Bus","Number","2948010"
"Passenger Journeys","2023 Week 03","Bus, excluding Dublin Metro","Number","791800"
"Passenger Journeys","2023 Week 03","Rail","Number","737213"
"Passenger Journeys","2023 Week 03","All public transport, excluding LUAS","Number","4477023"
"Passenger Journeys","2023 Week 04","Dublin Metro Bus","Number","3166957"
"Passenger Journeys","2023 Week 04","Bus, excluding Dublin Metro","Number","858179"
"Passenger Journeys","2023 Week 04","Rail","Number","803814"
"Passenger Journeys","2023 Week 04","All public transport, excluding LUAS","Number","4828950"
"Passenger Journeys","2023 Week 05","Dublin Metro Bus","Number","3157789"
"Passenger Journeys","2023 Week 05","Bus, excluding Dublin Metro","Number","867139"
"Passenger Journeys","2023 Week 05","Rail","Number","843766"
"Passenger Journeys","2023 Week 05","All public transport, excluding LUAS","Number","4868694"
"Passenger Journeys","2023 Week 06","Dublin Metro Bus","Number","2957697"
"Passenger Journeys","2023 Week 06","Bus, excluding Dublin Metro","Number","803293"
"Passenger Journeys","2023 Week 06","Rail","Number","783829"
"Passenger Journeys","2023 Week 06","All public transport, excluding LUAS","Number","4544819"
"Passenger Journeys","2023 Week 07","Dublin Metro Bus","Number","3095444"
"Passenger Journeys","2023 Week 07","Bus, excluding Dublin Metro","Number","882482"
"Passenger Journeys","2023 Week 07","Rail","Number","825296"
"Passenger Journeys","2023 Week 07","All public transport, excluding LUAS","Number","4803222"
"Passenger Journeys","2023 Week 08","Dublin Metro Bus","Number","3232516"
"Passenger Journeys","2023 Week 08","Bus, excluding Dublin Metro","Number","885217"
"Passenger Journeys","2023 Week 08","Rail","Number","843175"
"Passenger Journeys","2023 Week 08","All public transport, excluding LUAS","Number","4960908"
"Passenger Journeys","2023 Week 09","Dublin Metro Bus","Number","3207780"
"Passenger Journeys","2023 Week 09","Bus, excluding Dublin Metro","Number","878491"
"Passenger Journeys","2023 Week 09","Rail","Number","860894"
"Passenger Journeys","2023 Week 09","All public transport, excluding LUAS","Number","4947165"
"Passenger Journeys","2023 Week 10","Dublin Metro Bus","Number","3133172"
"Passenger Journeys","2023 Week 10","Bus, excluding Dublin Metro","Number","847587"
"Passenger Journeys","2023 Week 10","Rail","Number","771731"
"Passenger Journeys","2023 Week 10","All public transport, excluding LUAS","Number","4752490"
"Passenger Journeys","2023 Week 11","Dublin Metro Bus","Number","2964999"
"Passenger Journeys","2023 Week 11","Bus, excluding Dublin Metro","Number","819312"
"Passenger Journeys","2023 Week 11","Rail","Number","816678"
"Passenger Journeys","2023 Week 11","All public transport, excluding LUAS","Number","4600989"
"Passenger Journeys","2023 Week 12","Dublin Metro Bus","Number","3207312"
"Passenger Journeys","2023 Week 12","Bus, excluding Dublin Metro","Number","849417"
"Passenger Journeys","2023 Week 12","Rail","Number","851471"
"Passenger Journeys","2023 Week 12","All public transport, excluding LUAS","Number","4908200"
"Passenger Journeys","2023 Week 13","Dublin Metro Bus","Number","3274633"
"Passenger Journeys","2023 Week 13","Bus, excluding Dublin Metro","Number","854952"
"Passenger Journeys","2023 Week 13","Rail","Number","689730"
"Passenger Journeys","2023 Week 13","All public transport, excluding LUAS","Number","4819315"
"Passenger Journeys","2023 Week 14","Dublin Metro Bus","Number","3030252"
"Passenger Journeys","2023 Week 14","Bus, excluding Dublin Metro","Number","815998"
"Passenger Journeys","2023 Week 14","Rail","Number","801427"
"Passenger Journeys","2023 Week 14","All public transport, excluding LUAS","Number","4647677"
"Passenger Journeys","2023 Week 15","Dublin Metro Bus","Number","2814650"
"Passenger Journeys","2023 Week 15","Bus, excluding Dublin Metro","Number","736415"
"Passenger Journeys","2023 Week 15","Rail","Number","731982"
"Passenger Journeys","2023 Week 15","All public transport, excluding LUAS","Number","4283047"
"Passenger Journeys","2023 Week 16","Dublin Metro Bus","Number","3267439"
"Passenger Journeys","2023 Week 16","Bus, excluding Dublin Metro","Number","880537"
"Passenger Journeys","2023 Week 16","Rail","Number","836941"
"Passenger Journeys","2023 Week 16","All public transport, excluding LUAS","Number","4984917"
"Passenger Journeys","2023 Week 17","Dublin Metro Bus","Number","3325827"
"Passenger Journeys","2023 Week 17","Bus, excluding Dublin Metro","Number","883494"
"Passenger Journeys","2023 Week 17","Rail","Number","865758"
"Passenger Journeys","2023 Week 17","All public transport, excluding LUAS","Number","5075079"
"Passenger Journeys","2023 Week 18","Dublin Metro Bus","Number","3082566"
"Passenger Journeys","2023 Week 18","Bus, excluding Dublin Metro","Number","825877"
"Passenger Journeys","2023 Week 18","Rail","Number","872894"
"Passenger Journeys","2023 Week 18","All public transport, excluding LUAS","Number","4781337"
"Passenger Journeys","2023 Week 19","Dublin Metro Bus","Number","3207366"
"Passenger Journeys","2023 Week 19","Bus, excluding Dublin Metro","Number","878188"
"Passenger Journeys","2023 Week 19","Rail","Number","873808"
"Passenger Journeys","2023 Week 19","All public transport, excluding LUAS","Number","4959362"
"Passenger Journeys","2023 Week 20","Dublin Metro Bus","Number","3127899"
"Passenger Journeys","2023 Week 20","Bus, excluding Dublin Metro","Number","862338"
"Passenger Journeys","2023 Week 20","Rail","Number","891149"
"Passenger Journeys","2023 Week 20","All public transport, excluding LUAS","Number","4881386"
"Passenger Journeys","2023 Week 21","Dublin Metro Bus","Number","3173348"
"Passenger Journeys","2023 Week 21","Bus, excluding Dublin Metro","Number","870042"
"Passenger Journeys","2023 Week 21","Rail","Number","890058"
"Passenger Journeys","2023 Week 21","All public transport, excluding LUAS","Number","4933448"
"Passenger Journeys","2023 Week 22","Dublin Metro Bus","Number","3200660"
"Passenger Journeys","2023 Week 22","Bus, excluding Dublin Metro","Number","865585"
"Passenger Journeys","2023 Week 22","Rail","Number","975543"
"Passenger Journeys","2023 Week 22","All public transport, excluding LUAS","Number","5041788"
"Passenger Journeys","2023 Week 23","Dublin Metro Bus","Number","2904610"
"Passenger Journeys","2023 Week 23","Bus, excluding Dublin Metro","Number","781015"
"Passenger Journeys","2023 Week 23","Rail","Number","816266"
"Passenger Journeys","2023 Week 23","All public transport, excluding LUAS","Number","4501891"
"Passenger Journeys","2023 Week 24","Dublin Metro Bus","Number","3057569"
"Passenger Journeys","2023 Week 24","Bus, excluding Dublin Metro","Number","802039"
"Passenger Journeys","2023 Week 24","Rail","Number","880035"
"Passenger Journeys","2023 Week 24","All public transport, excluding LUAS","Number","4739643"
"Passenger Journeys","2023 Week 25","Dublin Metro Bus","Number","3057052"
"Passenger Journeys","2023 Week 25","Bus, excluding Dublin Metro","Number","781908"
"Passenger Journeys","2023 Week 25","Rail","Number","902728"
"Passenger Journeys","2023 Week 25","All public transport, excluding LUAS","Number","4741688"
"Passenger Journeys","2023 Week 26","Dublin Metro Bus","Number","3108755"
"Passenger Journeys","2023 Week 26","Bus, excluding Dublin Metro","Number","760478"
"Passenger Journeys","2023 Week 26","Rail","Number","938599"
"Passenger Journeys","2023 Week 26","All public transport, excluding LUAS","Number","4807832"
"Passenger Journeys","2023 Week 27","Dublin Metro Bus","Number","3046360"
"Passenger Journeys","2023 Week 27","Bus, excluding Dublin Metro","Number","810830"
"Passenger Journeys","2023 Week 27","Rail","Number","858711"
"Passenger Journeys","2023 Week 27","All public transport, excluding LUAS","Number","4715901"
"Passenger Journeys","2023 Week 28","Dublin Metro Bus","Number","2939504"
"Passenger Journeys","2023 Week 28","Bus, excluding Dublin Metro","Number","799946"
"Passenger Journeys","2023 Week 28","Rail","Number","785124"
"Passenger Journeys","2023 Week 28","All public transport, excluding LUAS","Number","4524574"
"Passenger Journeys","2023 Week 29","Dublin Metro Bus","Number","2956246"
"Passenger Journeys","2023 Week 29","Bus, excluding Dublin Metro","Number","799518"
"Passenger Journeys","2023 Week 29","Rail","Number","806263"
"Passenger Journeys","2023 Week 29","All public transport, excluding LUAS","Number","4562027"
"Passenger Journeys","2023 Week 30","Dublin Metro Bus","Number","2998446"
"Passenger Journeys","2023 Week 30","Bus, excluding Dublin Metro","Number","788301"
"Passenger Journeys","2023 Week 30","Rail","Number","814033"
"Passenger Journeys","2023 Week 30","All public transport, excluding LUAS","Number","4600780"
"Passenger Journeys","2023 Week 31","Dublin Metro Bus","Number","2907903"
"Passenger Journeys","2023 Week 31","Bus, excluding Dublin Metro","Number","819255"
"Passenger Journeys","2023 Week 31","Rail","Number","842625"
"Passenger Journeys","2023 Week 31","All public transport, excluding LUAS","Number","4569783"
"Passenger Journeys","2023 Week 32","Dublin Metro Bus","Number","2807912"
"Passenger Journeys","2023 Week 32","Bus, excluding Dublin Metro","Number","752795"
"Passenger Journeys","2023 Week 32","Rail","Number","828688"
"Passenger Journeys","2023 Week 32","All public transport, excluding LUAS","Number","4389395"
"Passenger Journeys","2023 Week 33","Dublin Metro Bus","Number","2935441"
"Passenger Journeys","2023 Week 33","Bus, excluding Dublin Metro","Number","816489"
"Passenger Journeys","2023 Week 33","Rail","Number","850226"
"Passenger Journeys","2023 Week 33","All public transport, excluding LUAS","Number","4602156"
"Passenger Journeys","2023 Week 34","Dublin Metro Bus","Number","2989135"
"Passenger Journeys","2023 Week 34","Bus, excluding Dublin Metro","Number","845884"
"Passenger Journeys","2023 Week 34","Rail","Number","818169"
"Passenger Journeys","2023 Week 34","All public transport, excluding LUAS","Number","4653188"
"Passenger Journeys","2023 Week 35","Dublin Metro Bus","Number","3134289"
"Passenger Journeys","2023 Week 35","Bus, excluding Dublin Metro","Number","835183"
"Passenger Journeys","2023 Week 35","Rail","Number","882381"
"Passenger Journeys","2023 Week 35","All public transport, excluding LUAS","Number","4851853"
"Passenger Journeys","2023 Week 36","Dublin Metro Bus","Number","3266735"
"Passenger Journeys","2023 Week 36","Bus, excluding Dublin Metro","Number","910823"
"Passenger Journeys","2023 Week 36","Rail","Number","948395"
"Passenger Journeys","2023 Week 36","All public transport, excluding LUAS","Number","5125953"
"Passenger Journeys","2023 Week 37","Dublin Metro Bus","Number","3332761"
"Passenger Journeys","2023 Week 37","Bus, excluding Dublin Metro","Number","924379"
"Passenger Journeys","2023 Week 37","Rail","Number","789208"
"Passenger Journeys","2023 Week 37","All public transport, excluding LUAS","Number","5046348"
"Passenger Journeys","2023 Week 38","Dublin Metro Bus","Number","3558455"
"Passenger Journeys","2023 Week 38","Bus, excluding Dublin Metro","Number","984371"
"Passenger Journeys","2023 Week 38","Rail","Number","945832"
"Passenger Journeys","2023 Week 38","All public transport, excluding LUAS","Number","5488658"
"Passenger Journeys","2023 Week 39","Dublin Metro Bus","Number","3517509"
"Passenger Journeys","2023 Week 39","Bus, excluding Dublin Metro","Number","950613"
"Passenger Journeys","2023 Week 39","Rail","Number","932441"
"Passenger Journeys","2023 Week 39","All public transport, excluding LUAS","Number","5400563"
"Passenger Journeys","2023 Week 40","Dublin Metro Bus","Number","3595880"
"Passenger Journeys","2023 Week 40","Bus, excluding Dublin Metro","Number","894313"
"Passenger Journeys","2023 Week 40","Rail","Number","974332"
"Passenger Journeys","2023 Week 40","All public transport, excluding LUAS","Number","5464525"
"Passenger Journeys","2023 Week 41","Dublin Metro Bus","Number","3629045"
"Passenger Journeys","2023 Week 41","Bus, excluding Dublin Metro","Number","923175"
"Passenger Journeys","2023 Week 41","Rail","Number","925784"
"Passenger Journeys","2023 Week 41","All public transport, excluding LUAS","Number","5478004"
"Passenger Journeys","2023 Week 42","Dublin Metro Bus","Number","3492660"
"Passenger Journeys","2023 Week 42","Bus, excluding Dublin Metro","Number","933376"
"Passenger Journeys","2023 Week 42","Rail","Number","912832"
"Passenger Journeys","2023 Week 42","All public transport, excluding LUAS","Number","5338868"
"Passenger Journeys","2023 Week 43","Dublin Metro Bus","Number","3504413"
"Passenger Journeys","2023 Week 43","Bus, excluding Dublin Metro","Number","974091"
"Passenger Journeys","2023 Week 43","Rail","Number","888050"
"Passenger Journeys","2023 Week 43","All public transport, excluding LUAS","Number","5366554"
"Passenger Journeys","2023 Week 44","Dublin Metro Bus","Number","3043578"
"Passenger Journeys","2023 Week 44","Bus, excluding Dublin Metro","Number","811636"
"Passenger Journeys","2023 Week 44","Rail","Number","824979"
"Passenger Journeys","2023 Week 44","All public transport, excluding LUAS","Number","4680193"
"Passenger Journeys","2023 Week 45","Dublin Metro Bus","Number","3517888"
"Passenger Journeys","2023 Week 45","Bus, excluding Dublin Metro","Number","928383"
"Passenger Journeys","2023 Week 45","Rail","Number","959770"
"Passenger Journeys","2023 Week 45","All public transport, excluding LUAS","Number","5406041"
"Passenger Journeys","2023 Week 46","Dublin Metro Bus","Number","3311974"
"Passenger Journeys","2023 Week 46","Bus, excluding Dublin Metro","Number","900766"
"Passenger Journeys","2023 Week 46","Rail","Number","900707"
"Passenger Journeys","2023 Week 46","All public transport, excluding LUAS","Number","5113447"
"Passenger Journeys","2023 Week 47","Dublin Metro Bus","Number","3218635"
"Passenger Journeys","2023 Week 47","Bus, excluding Dublin Metro","Number","895925"
"Passenger Journeys","2023 Week 47","Rail","Number","945060"
"Passenger Journeys","2023 Week 47","All public transport, excluding LUAS","Number","5059620"
"Passenger Journeys","2023 Week 48","Dublin Metro Bus","Number","3453532"
"Passenger Journeys","2023 Week 48","Bus, excluding Dublin Metro","Number","941393"
"Passenger Journeys","2023 Week 48","Rail","Number","942218"
"Passenger Journeys","2023 Week 48","All public transport, excluding LUAS","Number","5337143"
